Value,Value,Count,P1_001N,POP_AREA,POP_DENS,REP_CAT
478.0,478.0,95.0,91,95.0,0.9578947368421052,0
479.0,479.0,35.0,145,28.0,5.178571428571429,0
480.0,480.0,240.0,275,240.0,1.1458333333333333,0
481.0,481.0,13.0,26,13.0,2.0,22
482.0,482.0,18.0,53,18.0,2.9444444444444446,22
483.0,483.0,55.0,104,55.0,1.8909090909090909,0
484.0,484.0,19.0,32,19.0,1.6842105263157894,0
485.0,485.0,49.0,24,49.0,0.4897959183673469,0
486.0,486.0,27.0,122,27.0,4.518518518518518,23
487.0,487.0,30.0,52,30.0,1.7333333333333334,0
488.0,488.0,47.0,50,47.0,1.0638297872340425,0
489.0,489.0,25.0,66,25.0,2.64,0
490.0,490.0,90.0,82,90.0,0.9111111111111111,0
491.0,491.0,264.0,29,253.0,0.11462450592885376,0
492.0,492.0,43.0,116,43.0,2.697674418604651,0
493.0,493.0,14.0,23,14.0,1.6428571428571428,0
494.0,494.0,41.0,31,41.0,0.7560975609756098,0
495.0,495.0,110.0,6,110.0,0.05454545454545454,0
