,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
6752,1712196.0,19.0,21.0,1829.0,0.0,44.0,0.001,0.019,0.27536231884057966,0.0,0.0
6753,1712197.0,20.0,22.0,1828.0,0.0,42.0,0.002,0.04,0.5714285714285714,0.0,0.0
6754,1712265.0,18.0,90.0,1760.0,0.0,128.0,0.0001,0.0018000000000000002,0.014308426073131958,0.0,0.0
6755,1714037.0,38.0,11.0,1840.0,0.0,6258.0,0.0,0.0,0.0,0.0,0.0
6756,1714047.0,62.0,21.0,1830.0,0.0,300.0,0.001,0.062,0.11376146788990825,0.0,0.0
6757,1714048.0,25.0,22.0,1829.0,0.0,44.0,0.002,0.05,0.7246376811594203,0.0,0.0
6758,1714049.0,8.0,23.0,1828.0,0.0,42.0,0.002,0.016,0.22857142857142856,0.0,0.0
6759,1714107.0,5.0,81.0,1770.0,0.0,62.0,0.0001,0.0005,0.006150061500615006,0.0,0.0
6760,1715889.0,39.0,11.0,1841.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
6761,1715900.0,133.0,22.0,1830.0,0.0,300.0,0.002,0.266,0.4880733944954128,0.0,0.0
6762,1717742.0,37.0,11.0,1842.0,0.0,1141.0,0.0,0.0,0.0,0.0,0.0
6763,1717752.0,40.0,21.0,1832.0,0.0,59.0,0.001,0.04,0.6182380216383307,0.0,0.0
6764,1717754.0,98.0,23.0,1830.0,0.0,300.0,0.002,0.196,0.35963302752293574,0.0,0.0
6765,1719606.0,5.0,21.0,1833.0,0.0,38.0,0.001,0.005,0.0704225352112676,0.0,0.0
6766,1719607.0,12.0,22.0,1832.0,0.0,59.0,0.002,0.024,0.3709428129829984,0.0,0.0
6767,1719608.0,9.0,23.0,1831.0,0.0,13.0,0.002,0.018000000000000002,0.6,0.0,0.0
6768,1719609.0,7.0,24.0,1830.0,0.0,300.0,0.003,0.021,0.03853211009174312,0.0,0.0
6769,1719626.0,35.0,41.0,1813.0,0.0,1453.0,0.0001,0.0035,0.006118881118881118,0.0,0.0
6770,1721461.0,206.0,21.0,1834.0,0.0,559.0,0.001,0.20600000000000002,0.5892448512585813,0.0,0.0
6771,1721462.0,33.0,22.0,1833.0,0.0,38.0,0.002,0.066,0.9295774647887324,0.0,0.0
6772,1721464.0,4.0,24.0,1831.0,0.0,13.0,0.003,0.012,0.39999999999999997,0.0,0.0
6773,1721482.0,123.0,42.0,1813.0,0.0,1453.0,0.0001,0.0123,0.021503496503496502,0.0,0.0
6774,1723307.0,1.0,11.0,1845.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0
6775,1723317.0,129.0,21.0,1835.0,0.0,535.0,0.001,0.129,0.18204911092294665,0.0,0.0
6776,1723318.0,51.0,22.0,1834.0,0.0,559.0,0.002,0.10200000000000001,0.2917620137299771,0.0,0.0
6777,1723339.0,24.0,43.0,1813.0,0.0,1453.0,0.0001,0.0024000000000000002,0.004195804195804196,0.0,0.0
